energy_PerServing,carbohydrates_PerServing,sugars_PerServing,fiber_PerServing,proteins_PerServing,sodium_PerServing,totalFat_PerServing,product_name,serving_size_grams
711.2,5.0008,0.9996,1.988,6.0004,0.12012,16.9988,Salted Mixed Nuts,28
376.03,5.9985,5.0003,0,0,0.2201,8.0011,Honey Mustard,31
251.84,7.0016,7.0016,0,0,0.23008,3.0016,Raspberry Vinaigrette,32
334.72,10,1,0,1,0.10496,5,The Original Snack Crackers,16
41.85,2,0,0,0,0.115,0,Bearnaise Sauce Mix,2.5
62.75,3,1,0,1,0.41,0,"Mix, Pesto Sauce",5
335.16,14.9996,4.0012,1.008,1.9992,0.15008,1.5008,Swirl Bread,28
753,23.0025,17.0025,0,2.0025,0.075,13.005,"Deluxe Ice Cream, S'Mores",75
670.6,22.001,19.999,0,2.002,0.1197,11.501,"Deluxe Ice Cream, Chocolate Butter Toffee",70
627.27,19.0008,0,2.001,2.001,0.07511,8.0011,Restaurant Style Tortilla Chips,29
585.9,17.003,14,0,2.002,0.0553,11.501,"Deluxe Ice Cream, Artisan Vanilla Bean",70
418.6,16.003,4.9985,0.975,3.9975,0.0598,5.005,"Deluxe Churned Reduced Fat Ice Cream, Vividly Vanilla",65
626.5,17.997,14,0,2.002,0.07,12.999,"Deluxe Ice Cream, Chocolate Chip",70
670.6,19.999,11.998,0,3.003,0.0749,12.999,"Deluxe Ice Cream, Death By Chocolate",70
670.6,21,15.001,0.98,3.003,0.1001,11.998,"Deluxe Ice Cream, Rocky Road",70
458.85,20.9967,17.0016,0,2.001,0.04968,2.4978,"Deluxe Frozen Yogurt, Pineapple Coconut",69
543.86,23.998,21.0018,0,3.0033,0.0852,3.5003,"Deluxe Frozen Yogurt, Caramel Praline",71
41.54,3.0008,1.0013,0.992,0,0.23002,0,Traditional Salsa,31
41.54,3.0008,1.0013,0.992,0,0.23002,0,Traditional Salsa,31
375.04,13.0048,8.9984,2.944,1.9968,0.45056,2.496,"Pasta Sauce, Traditional",128
375.04,16,9.9968,2.944,2.9952,0.5504,1.9968,"Homestyle Pasta Sauce, Tomato & Basil",128
331.52,13.0048,8.9984,2.944,1.9968,0.5504,1.9968,"Homestyle Pasta Sauce, Marinara",128
375.04,14.0032,9.9968,2.944,2.9952,0.54016,2.496,"Pasta Sauce, Chunky Mushroom & Onion",128
375.04,14.0032,8.9984,2.944,2.9952,0.54016,2.496,"Chunky Pasta Sauce, Green Pepper & Mushroom",128
417.28,16,9.9968,2.944,2.9952,0.5504,2.496,"Homestyle Pasta Sauce, Roasted Red Pepper With Garlic",128
375.04,13.0048,8.9984,2.944,2.9952,0.45056,3.4944,"Pasta Sauce Flavored With Beef, Traditional",128
460.8,15.0016,9.9968,2.944,3.9936,0.5504,4.992,"Homestyle Pasta Sauce, Parmesan & Romano",128
417.28,13.0048,8.9984,2.944,3.9936,0.5504,4.992,"Homestyle Pasta Sauce, 6 Cheese",128
417.28,15.0016,9.9968,2.944,2.9952,0.5504,2.9952,"Homestyle Pasta Sauce, Flavored With Beef, Beef",128
41.805,3.00015,0,0,0,0.37998,0,Seasoning Mix & Cooking Bag,4.5
502.6,16.9988,7.9996,1.008,0.9996,0.05992,8.5008,"Chipmates, Chunky Chocolate Chip Cookies",28
502.58,14.9994,6.9992,0,1.9994,0.07488,9.5004,"Chipmates, Chunky Chocolate Chip Cookies, Peanut Butter",26
627.3,24.0006,14.0012,0.986,0.9996,0.16014,8.0002,"Original Sandwich Cookies, Chocolate",34
752.32,8,4,1.984,7.0016,0.15008,17.5008,"Creamy Peanut Butter, Roasted Peanuts",32
752.32,8.9984,4,1.984,7.0016,0.15008,17.5008,Crunchy Peanut Butter,32
795.2,7.0016,0.9984,3.008,8,0.12512,18,Natural Creamy Peanut Butter,32
795.2,7.0016,0.9984,3.008,8,0.12512,18,Crunchy Peanut Butter,32
752.42,9.9994,6.001,2.006,7.0006,0.11016,16.5002,Crunchy Roasted Peanuts And Honey,34
711.15,19.0014,15.9984,0.99,4.9995,0.13002,10.5006,Butter Toffee Peanuts,33
0,7.008,0,0,0,0,0,"Vitamin Enhanced Water Beverage, Lemonade",240
0,7.008,0,0,0,0,0,"Vitamin Enhanced Water Beverage, Blood Orange",240
543.36,15.0016,15.0016,0,1.9968,0.04992,10.0032,Party Pail Ice Cream,64
879.12,30.9986,15.9988,1.036,2.997,0.15022,13.0018,Ice Cream Sandwiches,74
586.09,19.0008,1.0005,2.001,2.001,0.14007,8.0011,Tortilla Chips With A Kick Of Lime,29
501.89,27.001,20.9994,0,1.0013,0.20987,2.0026,"Dutch Hot Cocoa Mix, Milk Chocolate",31
621.6,37.008,36,0,0,0.036,0,"100% Juice, White Grape",240
251.1,10.9995,0,0,1.0005,0.16995,1.5,Oyster Crackers,15
376.13,2.001,2.001,0,0,0.24998,10.498,"P$$T..., Ranch Dressing",29
627.48,28.0014,2.9988,6.006,3.9984,0.18018,3.4986,Instant Oatmeal,42
292.67,15.9988,14.0008,0,0,0.28009,0,Sweet & Tangy Barbecue Sauce,37
292.67,15.9988,14.0008,0,0,0.28009,0,Sweet Hickory Barbecue Sauce,37
752.84,22.0011,2.0001,0,2.9972,0.53985,13.4992,Buttermilk Biscuits,59
668.92,4.0012,0.9996,1.988,7,0.22008,15.9992,"Peanuts With Sea Salt, Salt & Pepper",28
251.3,0.9996,0,0,0,0.11494,7,Olive Oil,14
672,39,30,0,0,0.036,0,"Juice Cocktail, Grape, Cranberry",240
251.1,10.9995,0,1.005,1.0005,0.11505,1.5,"Baked Oyster Crackers, Original",15
59.1,3.501,3.3,0,0,0.0009,0,100% Apple Juice,30
66.6,4.101,3.699,0,0,0.0036,0,"Juice Cocktail From Concentrate, Cranberry",30
418.18,0,0,0,0,0.09506,12.4992,Mayo Real Mayonnaise,14
418.18,0,0,0,0,0.09506,12.4992,Real Mayonnaise,14
1004.36,51.9996,1.9992,1.02,5.9976,0.51,1.5028,Cheddar & Broccoli Flavored Rice & Sauce,68
962.65,48.0025,1.001,0.975,5.9995,0.62985,1.5015,Chicken Flavored Rice / Sauce,65
962.24,44.9996,2.0026,0.992,7.998,0.62,3.0008,Alfredo Pasta & Sauce,62
503.1,22.016,3.0014,1.0019,3.999,0.19995,1.0019,Hamburger enriched buns,43
543.51,25.9982,2.0008,4.026,7.0028,0.22997,2.0008,English Muffins,61
0,0,0,0,0,0.0096,0,Sparkling Water Beverage,240
188.08,2,0,1,2,0,4,Salad Toppers,8
251.19,0.9999,0,0,0.9999,0,6.0003,Pine Nuts,9
417.9,2.001,0.999,0,0.999,0.2499,12,Creamy Greek Vinaigrette,30
543.6,3,2.001,0,0.999,0.27,15.498,Sriracha Ranch,30
591.18,35.0106,33.984,0,0,0.04602,0,Sparkling Lemonade,354
83.98,3.0005,1.9992,0,0,0.47005,0.4998,Fajita With Lime Juice,17
167.04,9,7.9992,0,0,0.34992,0,"Barbeque Sauce, Mustard On My Mind",36
292.32,15.9984,14.0004,0,0,0.38016,0,Barbeque Sauces,36
62.7,3,2.001,0.99,0,0.2301,0,Thick & Chunky Mild Salsa,30
62.7,3,2.001,0.99,0,0.2301,0,Thick & Chunky Medium Salsa,30
62.7,3,2.001,0.99,0,0.2301,0,Thick & Chunky Salsa,30
62.7,3,2.001,0.99,0,0.2301,0,Thick & Chunky Salsa,30
62.7,3,2.001,0.99,0,0.2301,0,"Fred Meyer, Salsa, Thick & Chunky, Medium",30
209.2,12,6,0,0,0,0,"Squeezable Spread, Strawberry",20
627.6,15,9,0.99,3,0.0849,14.502,Trail Mix,30
62.7,3,2.001,0.99,0,0.2301,0,"Fred Meyer, Salsa, Thick & Chunky, Mild",30
460.8,5.001,3.999,0,0,0.2499,11.499,Tartar Sauce,30
208.95,3,3,0,0,0.11505,4.9995,Sandwich Spread,15
83.7,1,0,0,0,0.035,2,Horseradish Sauce,5
167.11,3.0005,3.0005,0,0,0.13005,4.0001,Classic Whip Dressing,17
585.9,25.0005,11.0005,3.01,2.9995,0.15995,3.5,"Instant Oatmeal, Chocolate Chip",35
62.685,3.00015,0,0,0,0.26001,0,Stir Fry Seasoning Mix,4.5
209.52,11.9988,6.0012,0,1.0008,0.24984,0,Barbecue Sauce,36
334.49,5.0003,3.999,0,0,0.43989,8.0011,Tuscan Italian Dressing,31
209.1,11.9986,10.999,0,0.9996,0.28016,0,"Kc Style Barbecue Sauce, Original",34
585.76,14.9996,0.9996,2.996,1.9992,0.53004,8.9992,"Popcorn, Buffalo Ranch",28
627.27,14.0012,1.0005,2.001,2.9986,0.26999,10.9997,Popcorn Cheese,29
102.85,4.998,1.9975,2.975,1.9975,0.03995,0,Broccoli & Carrots,85
102.85,4.0035,1.003,2.04,1.9975,0.02465,0,Broccoli & Cauliflower,85
102.85,4.998,1.9975,2.04,1.9975,0.03995,0,Vegetable Medley,85
124.1,7.004,4.0035,2.04,1.003,0.03995,0,Crrots & Sugar Snap Peas,85
102.85,6.001,3.0005,2.04,1.9975,0.0051,0,Green Beans,85
85,4.0035,1.9975,2.04,1.9975,0.02465,0,Cauliflower Florets,85
102.85,4.998,1.9975,2.975,1.9975,0.02465,0,"Fresh Selections, Broccoli Slaw",85
502,32,24,2,1,0,0,Seedless Raisins,40
102.85,4.998,3.0005,2.04,1.003,0.03995,0,Vegetable Tray,85
878.7,3.999,0.999,3,3,0,24,Pecans Pieces,30
627.27,1.0005,1.0005,0,1.0005,0.26999,18.9979,Chunky Blue Cheese,29
668.56,34.0014,9.9979,2.013,4.0016,0.22997,0.5002,"English Muffins, Cinnamon Raisin",61
586.53,27.0009,0.9975,1.026,4.0014,0.27018,0.5016,"English Muffins, Sour Dough",57
334.54,19.0017,1.9995,3.999,3.999,0.20984,0.4988,White Hamburger Enriched Buns,43
335.14,14.001,1.9994,0,1.9994,0.13,1.5002,Brown & Serve Enriched Rolls,26
919.8,20.006,2.002,0.98,4.004,0.8302,18.004,Bacon & Ranch Redskin Potato Salad,140
585.2,18.004,0,0.98,2.996,0.5096,11.004,Homestyle Mashed Potatoes,140
1672.5,45,6,2,17,0.9,27,Macaroni And Cheese,250
1171.8,21.994,6.006,1.96,4.004,0.63,21.994,Deviled Egg Potato Salad,140
836.64,28,15.0024,1.008,3.0016,0.19992,13.5016,"Cinnamon Danish, Cinnamon",56
836.64,29.0024,17.0016,1.008,3.0016,0.17976,12.0008,Cheese Danish,56
502.25,18.0075,7.007,2.94,8.0115,0.7301,1.4945,Chicken Tortilla Soup,245
460.6,14.994,2.009,0.98,8.0115,0.7399,1.9845,Classic Chicken Noodle Soup,245
1884.68,53.9964,28.0052,0.954,6.996,0.37948,28.0052,"Bakery Fresh Goodness, Banana Muffins, Banana",106
1884.68,59.996,35.0012,0.954,5.0032,0.36994,24.9948,"Bakery Fresh Goodness, Blueberry Muffins, Topped With Coarse Sugar",106
502.2,24,6.999,0.99,2.001,0.0999,2.001,Letters & Numbers Crackers,30
961.62,31.0012,23.9982,0.987,2.0022,0.21009,14.9977,Chocolate Cupcake,47
586.09,21.9994,14.9988,0.986,1.0005,0.11513,8.0011,Chocolate Sandwich Cookies,29
502.28,20.0013,7.0006,0,2.001,0.12499,4.9996,"Graham Crackers, Chocolate Animal",29
543.48,20.0004,7,0,1.9992,0.15008,5.4992,"Graham Stix, Cinnamon",28
543.48,20.0004,7,0,1.9992,0.15008,5.4992,"Graham Stix, Honey",28
669.48,33.999,0.9996,1.008,3.9984,0.48006,0.9996,Mint Twist Pretzels,42
543.43,22.9989,3.0008,2.015,3.999,0.18011,3.0008,Reduced Fat Original Wheat Crisps,31
586.21,22.0007,1.9995,3.007,3.0008,0.12989,6.9998,Baked Wheat Crisps Multi-Grain Crackers,31
627.75,20.0012,3.999,2.015,3.0008,0.09486,8.0011,"Baked Wheat Crisps Crackers, Original",31
627.6,21.999,2.001,0.99,2.001,0.2301,5.001,"Country Club Crackers, Original",30
251.3,10.0002,0,0.994,0.9996,0.04004,1.4994,Saltines Unsalted Crack-Arrrs,14
251.3,10.0002,0,0.994,0.9996,0.09996,0.9996,Saltines Wheat Crack-Arrrs,14
501.66,19.9989,5.0004,0.999,2.0007,0.14013,3.4992,"Graham Crackers, Original",27
627.27,19.0008,0,2.001,2.001,0.07511,8.0011,Tortilla Chips,29
125.65,5.0001,0,0,1.0003,0.09002,1.0003,Cheese & Garlic Croutons,7
543.43,24.0002,8.0011,0.992,1.9995,0.11501,3.999,"Graham Crackers, Cinnamon",31
586.21,18.9999,3.0008,3.007,3.0008,0.49011,8.5002,Whole Wheat Crisps,31
502.2,24.999,0.999,0.99,3,0.3201,0.999,Kroger mini twist pretzels ,30
502.2,24,0.999,0.99,3,0.3201,0.999,"Pretzel Haus, Stick Pretzels",30
208.8,12,7,0,1,0.02496,0,Chocolate Cake Cookies,16
711.04,19.0016,3.0016,0.992,2,0.30016,10.4992,Puffed Cheese Curls,32
334.46,0,0,0,9.0006,0.27006,7,Pork Rinds Chicharrones,14
334.46,0,0,0,7.9996,0.39998,6.4988,Pork Rinds,14
334.46,0,0,0,7.9996,0.37002,5.999,"Pork Rinds Chicharrones, Hot 'N Spicy",14
668.92,15.9992,0.9996,1.008,1.9992,0.15988,10.5,"Corn Chips, Original",28
83.61,4.00005,0,0,0,0.005,0,Rainbow Cake Cups,4.5
209.43,12.0003,3.0004,0,0.9997,0.02002,0,Sugar Cones,13
376.42,18.9992,5.0006,0,1.001,0.03498,0.4994,Waffle Cones,22
334.74,17.9991,5.0001,0,0.9996,0.03507,0.4998,Waffle Bowls,21
83.61,4.00005,0,0,0,0.005,0,Cake Cups,4.5
83.61,4.00005,0,0,0,0.005,0,Cake Cups,4.5
794.82,22.9983,2.9991,1.014,2.9991,0.29991,10.5027,"Sandwich Cracker, Cheddar Cheese",39
125.65,5.0001,0,0,1.0003,0.07497,1.0003,"Croutons, Seasoned Herb",7
125.65,5.0001,0,0,1.0003,0.07,1.0003,Croutons Caesar,7
669.44,16,0,1.984,2,0.27008,12.5024,"Corn Puff Poppers, Extreme Butter",32
628.04,14.9996,0,1.008,1.9992,0.14,11.998,Classic Potato Chips,28
628.04,14.9996,0,1.008,1.9992,0.14,11.998,Wavy Classic Potato Chips,28
502.28,18.0003,0,4.002,2.001,0.37004,8.0011,Salted Popcorn,29
418.32,15.9992,7,1.008,0.9996,0.05012,5.0008,Pecan Sweet Rolls,28
543.48,14.9996,5.0008,0,1.9992,0.16996,9.9988,Plain Cake Donuts,28
1297.88,39.0003,23.998,0.994,3.0033,0.33015,21.0018,"Glazed Cake Donuts, Blueberry",71
627.6,18.999,0.999,2.01,2.001,0.24,7.998,"Tortilla Chips, Ranch",30
669,17.001,0.999,0.99,2.001,0.2001,10.5,"Tortilla Chips, Spicy Nacho Cheese",30
1423,15,6,1,4,0.54,35,Seafood Salad,100
918.4,18.9952,0,1.008,14,1.09984,11.5024,Spicy Boneless Chicken Wyngz,112
1421.58,5.0046,1.995,0,15.0024,1.0203,38.9994,Mild Italian Style Pork Meatballs,114
2093.5,55.0034,29.0016,2.014,6.996,0.41022,29.998,Almond Muffins,106
1256.04,38.0052,13.0032,0.972,1.998,0.30024,19.5048,Apple Pie,108
1674.14,60.006,44.0044,0,3.0003,0.17947,29.0029,Banana Cream Pie,137
1713.87,60.006,43.0043,0.959,3.0003,0.19043,32.0032,Chocolate Creme Pie,137
878.4,38.004,35.004,2.04,2.004,0.06,6.504,"Premium Dessert Salads With Cranberries, Pineapple & Walnuts, Cranberry Celebration",120
188.21,9.0002,0.9999,0,0.9999,0.13002,0.5005,"Rice Cakes, White Cheddar",11
1340,42,8,1,15,0.85,17,Macaroni & Cheese,250
458.78,4.9946,4.0002,0,12.0006,0.37968,7.9891,4% Milkfat Small Curd Cottage Cheese,113
335.61,4.9946,2.9945,0,14.9951,0.38985,0,Fat Free Cottage Cheese,113
335.61,6.0003,4.9946,0,12.995,0.32996,0,Cottage Cheese,113
458.78,4.9946,4.0002,0,12.0006,0.37968,7.9891,Large Curd Cottage Cheese,113
458.78,4.0002,4.0002,0,12.0006,0.47008,7.4919,Large Curd Cottage Cheese,113
458.78,4.0002,4.0002,0,12.0006,0.47008,7.4919,Small Curd Cottage Cheese,113
415.84,4.9946,4.0002,0,12.0006,0.47008,4.0002,Lowfat Cottage Cheese,113
415.84,4.9946,4.0002,0,12.0006,0.47008,4.0002,Cottage Cheese,113
248.2,3.995,2.992,0,8.993,0.1003,2.499,"Carbmaster, Cultured Dairy Blend, White Chocolate, Raspberry",170
248.2,3.995,2.992,0,8.993,0.1496,2.499,"Carbmaster, Cultured Dairy Blend, Key Lime",170
248.2,3.995,2.992,0,8.993,0.1003,2.499,"Carbmaster, Cultured Dairy Blend, Black Forest Cake",170
710.6,31.994,27.999,1.02,6.001,0.1105,3.009,"Low Fat Yogurt, Blueberry Pomegranate",170
248.2,3.995,2.992,0,8.993,0.1105,2.499,"Crabmaster, Cultured Dairy Blend, Raspberry",170
248.2,3.995,2.992,0,8.993,0.1054,2.499,"Carbmaster Cultured Dairy Blend, Peach",170
248.2,3.995,2.992,0,8.993,0.1054,2.499,"Carbmaster, Cultured Dairy Blend, Vanilla",170
797.3,35.003,31.994,0,7.004,0.1156,3.009,"Blended Grade A Lowfat Yogurt, Strawberry",170
797.3,36.006,32.997,0,7.004,0.1207,3.502,"Blended Grade A Lowfat Yogurt, Strawberry Banana",170
334.9,12.002,9.996,1.02,7.004,0.1207,0,"Lite Grade A Nonfat Yogurt, Blueberry",170
334.9,12.002,9.996,1.02,7.004,0.1054,0,"Lite Nonfat Yogurt, Cherry Cheesecake",170
334.9,12.002,8.993,1.02,7.004,0.1394,0,"Lite Nonfat Yogurt, Key Lime",170
334.9,10.999,8.993,1.02,7.004,0.1054,0,"Lite Nonfat Yogurt, Peach",170
334.9,13.005,9.996,1.02,7.004,0.1003,0,"Lite Nonfat Yogurt, Strawberry Banana",170
334.9,12.002,8.993,1.02,6.001,0.1054,0,"Lite Nonfat Yogurt, Vanilla",170
710.6,31.008,27.999,0,6.001,0.1003,3.502,"Lowfat Yogurt, Black Cherry",170
710.6,31.994,29.002,0,6.001,0.1003,3.502,"Grade A Lowfat Yogurt, Blueberry",170
710.6,30.005,27.999,0,6.001,0.1003,3.502,"Fruit On The Bottom Grade A Lowfat Yogurt, Peach",170
710.6,31.994,29.002,0,6.001,0.1003,3.502,"Fruit On The Bottom Lowfat Yogurt, Strawberry",170
248.2,3.995,2.992,0,8.993,0.1054,2.499,Cultured Dairy Blend Pumpkin Pie,170
248.2,3.995,2.992,0,8.993,0.1207,2.499,"Cultured Dairy Blend, Blueberry Muffin With Other Natural Flavors With Vit A&D & Calcium Added",170
587.93,10.0107,8.9892,0,23.9939,0.11577,0.4994,Plain Nonfat Greek Yogurt,227
248.2,3.995,2.992,0,8.993,0.1003,2.499,"Carbmaster, Cultured Dairy Blend, Strawberry Colada",170
417.68,16.0035,12.0083,0.908,8.9892,0.13393,0,"Lite Nonfat Yogurt, Strawberry",227
587.93,13.0071,12.0083,0,20.9975,0.10442,0.4994,"Greek Nonfat Yogurt, Vanilla",227
878.8,29.9988,23.998,0,2.002,0.1898,12.0016,Chocolate Pull-A-Part Cupcakes,52
1547,52.9975,41.004,1.02,3.0005,0.34,21.0035,White Ice Cream Cone Cake,85
188.4,2.001,2.001,0,0.999,0.0399,6,Sour Cream,30
251.1,2.001,0.999,0,0.999,0.045,8.502,Original Sour Cream,30
251.1,2.001,0.999,0,0.999,0.045,8.502,Source Cream,30
251.1,0.999,0.999,0,0.999,0.015,9.501,Natural Sour Cream,30
251.1,2.001,0.999,0,0.999,0.0249,8.502,E-Z Squeeze Sour Cream,30
251.1,2.001,0.999,0,0.999,0.045,8.502,Original Sour Cream,30
251.1,2.001,0.999,0,0.999,0.075,11.001,Sour Cream With Chives,30
84,3,2.001,0,0.999,0.0249,0,Fat Free Sour Cream,30
251.1,2.001,0.999,0,0.999,0.1899,8.502,French Onion Sour Cream Dip,30
251.1,3,2.001,0,0.999,0.1701,8.502,Sour Cream Ranch Dip,30
251.1,2.001,0.999,0,0.999,0.1899,8.502,Sour Cream Dip,30
251.1,2.001,0.999,0,0.999,0.0849,8.001,Special Recipe French Onion Dip With Sour Cream,30
248.2,3.995,2.992,0,8.993,0.0952,2.499,"Carbmaster, Yogurt, Blackberry",170
248.2,3.995,2.992,0,8.993,0.0952,2.499,"Cultured Dairy Blend, Cherry",170
542.4,31.008,28.992,0,0,0.0048,0,Concentrated Drink,240
251.72,3.0008,3.0008,0,4.9972,0.05518,3.999,Ricotta Cheese,62
460.32,0.9996,0,0,7,0.18004,14,Finely Sharp Shredded Cheddar,28
460.32,0.9996,0,0,7,0.18004,14,Sharp Cheddar Shredded Cheese,28
335.16,0.9996,0,0,7.9996,0.16996,7.9996,Mozzarella Cheese,28
460.32,0.9996,0,0,7,0.18004,14,"Mild Cheddar, Finely Shredded",28
335.16,0.9996,0,0,7.9996,0.16996,7.9996,"Mozzarella, finely shredded",28
418.32,0,0,0,6.0004,0.26012,14,"Hot Pepper Cheese Blend, Hot Pepper",28
460.32,0.9996,0,0,7,0.18004,14,Natural Shredded Mild Cheddar Cheese,28
335.1,0.999,0,0,6.999,0.24,8.502,Finely Shredded Reduced Fat 4 Cheese Mexican Blend,30
418.32,0.9996,0,0,7,0.16996,13.0004,Finely Shredded Colby Jack Cheese,28
418.32,0.9996,0,0,6.0004,0.26012,13.0004,"Nacho & Taco Blend, Finely Shredded Cheese",28
418.32,0.9996,0,0,6.0004,0.22988,13.0004,Finely Shredded Casserole Cheese Blend,28
418.32,0.9996,0,0,7,0.16996,13.0004,Cheddar Jack Finely Shredded Cheese,28
376.04,0,0,0,7,0.23996,10.0016,Reduced Fat Mild Cheddar Cheese,28
0,0,0,0,0,0.38388,13.0508,Queso Quesadilla Finely Shredded Cheese,28
418.32,0.9996,0,0,9.9988,0.35,11.0012,Parmesan Cheese,28
418.32,0,0,0,7.9996,0.05992,13.0004,Finely Shredded Swiss Cheese,28
251.1,3,0.999,0,0.999,0.1701,8.502,Buffalo Style Sour Cream Dip,30
418.32,0.9996,0,0,7,0.16996,13.0004,Monterey Jack Finely Shredded Cheese,28
418.32,0.9996,0,0,6.0004,0.16996,13.0004,Mexican Style Blend Finely Shredded Cheese,28
376.04,0.9996,0,0,7,0.19012,11.0012,Italian Blend All Natural Cheese,28
376.04,0,0,0,7,0.23996,10.0016,Finely Shredded Sharp Cheddar Cheese,28
376.04,0,0,0,7,0.23996,10.0016,Sharp Cheddar Cheese,28
376.04,0,0,0,7,0.23996,10.0016,2% Milk Reduced Fat Monterey Jack Cheese,28
166.8,0.999,0.999,0,0.999,0.03,5.001,Half & Half,30
166.8,0.999,0.999,0,0.999,0.03,5.001,Half & Half A Blend Of Milk & Cream,30
84,3,2.001,0,0.999,0.0249,0,"Half & Half Milk & Cream, Grade A",30
501.6,12,10.992,0,7.992,0.12,7.992,2% Reduced Fat Milk,240
331.2,12,10.992,0,7.992,0.12,0,Skim Grade A Fat Free Milk,240
753.6,33,30,0.96,9,0.1896,3.984,1% Lowfat Milk,240
422.4,24,19.992,0,1.992,0.0048,0,"100% Orange Juice, Original",240
208.95,1.0005,0,0,0,0.00495,8.499,Heavy Whipping Cream,15
251.1,3,0.999,0,0.999,0.15,8.502,Vegetable Sour Cream Dip,30
422.4,12,10.992,0,7.992,0.12,3.984,Milk,240
418.32,0.9996,0,0,7,0.16996,13.0004,Colby Jack Cheese Cubes,28
418.32,0.9996,0,0,7,0.16996,13.0004,Cheddar Jack Cheese Cubes,28
460.32,0.9996,0,0,7,0.18004,14,Mild Cheddar Cheese Cubes,28
543.68,0.9984,0,0,8,0.15008,17.0016,Thin Cut Slices Medium Cheddar Natural Cheese,32
376.5,6,6,0,16.005,0.0795,0,"Plain Nonfat Greek Yogurt, Original",150
457.5,13.995,12,0,13.995,0.0645,0,"Greek Nonfat Yogurt, Blueberry",150
457.5,13.995,13.005,0,13.995,0.0645,0,"Nonfat Greek Yogurt, Black Cherry",150
457.5,13.995,13.005,0,13.995,0.0705,0,"Greek Nonfat Yogurt, Mixed Berry",150
333,7.005,4.995,0,13.995,0.0705,0,"Greek, Strawberry",150
333,7.005,4.995,0,13.995,0.075,0,"Greek Nonfat Yogurt With Vit A&D, Vanilla",150
460.8,16.9984,14.0032,0,3.0016,0.04992,4.4992,"Deluxe Churned Light Ice Cream, Artisan Vanilla Bean",64
543.32,21.998,18.9992,0,2.9988,0.0748,6.0044,"Deluxe Churned Light Ice Cream, Caramel Delight",68
585.58,19.9995,12.998,1.005,3.0016,0.05494,7.504,"Deluxe Churned Light Ice Cream, Death By Chocolate",67
544.04,20.9978,15.9996,0,3.0016,0.05025,6.499,"Deluxe Churned Light Ice Cream, Fun Munch Cookies N' Cream",67
544.05,18.9995,13,0.975,3.003,0.11505,7.0005,"Deluxe Churned Light Ice Cream, Southern Crunch Butter Pecan",65
544.6,21,4.998,0.98,3.997,0.07,8.001,"Deluxe Churned Reduced Fat Ice Cream, Peanut Butter Fudge Swirl",70
543.32,18.9992,4.998,1.02,3.9984,0.06528,6.9972,"Deluxe Churned Reduced Fat Ice Cream, Rocky Road",68
418.6,16.003,4.9985,0.975,3.9975,0.0598,5.005,"Deluxe Churned Ice Cream, Vividly Vanilla",65
377.6,17.9968,14.0032,0,3.0016,0.05504,1.9968,"Deluxe Frozen Yogurt, Vanilla Chocolate Fudge",64
502.5,19.005,15,3,13.005,0.0645,0,Greek Nonfat Yogurt,150
